route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
CASP-5136,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5137,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5147,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5148,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5149,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5150,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5151,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CASP-5152,CASP,"Caboolture - Springfield",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CLBD-5111,CLBD,"Cleveland - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CLBD-5115,CLBD,"Cleveland - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CLBD-5117,CLBD,"Cleveland - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CLBD-5137,CLBD,"Cleveland - Airport",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CLBN-5147,CLBN,"Cleveland - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CLBN-5148,CLBN,"Cleveland - Beenleigh",,2,https://jp.translink.com.au/plan-your-journey/timetables,6CC6E9,000000
CLBR-4997,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-4998,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5075,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5076,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5093,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5094,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5106,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5110,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5111,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5115,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5117,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5118,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
CLBR-5119,CLBR,"Cleveland - Brisbane City",,2,https://jp.translink.com.au/plan-your-journey/timetables,4E84C4,FFFFFF
