route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
655-4986,CBL 26_27-43425,38018206-CBL 26_27-43425,"Caboolture",1,,6550021
655-4986,CBL 26_27-43425,38018207-CBL 26_27-43425,"Caboolture",1,,6550021
640-4986,CBL 26_27-43425,38018210-CBL 26_27-43425,"Woorim",0,,6400088
640-4986,CBL 26_27-43425,38018211-CBL 26_27-43425,"Caboolture",1,,6400089
640-4986,CBL 26_27-43425,38018212-CBL 26_27-43425,"Woorim",0,,6400088
640-4986,CBL 26_27-43425,38018215-CBL 26_27-43425,"Caboolture",1,,6400089
654-4986,CBL 26_27-43425,38018218-CBL 26_27-43425,"Caboolture",0,,6540036
655-4986,CBL 26_27-43425,38018221-CBL 26_27-43425,"Caboolture",1,,6550021
653-4986,CBL 26_27-43425,38018222-CBL 26_27-43425,"Morayfield",1,,6530076
654-4986,CBL 26_27-43425,38018223-CBL 26_27-43425,"Caboolture",0,,6540036
651-4986,CBL 26_27-43425,38018226-CBL 26_27-43425,"Caboolture",0,,6510169
655-4986,CBL 26_27-43425,38018229-CBL 26_27-43425,"Caboolture",1,,6550021
640-4986,CBL 26_27-43425,38018232-CBL 26_27-43425,"Woorim",0,,6400088
640-4986,CBL 26_27-43425,38018233-CBL 26_27-43425,"Caboolture",1,,6400089
652-4986,CBL 26_27-43425,38018236-CBL 26_27-43425,"Caboolture",0,,6520129
653-4986,CBL 26_27-43425,38018239-CBL 26_27-43425,"Morayfield",1,,6530076
656-4986,CBL 26_27-43425,38018242-CBL 26_27-43425,"Morayfield",1,,6560084
656-4986,CBL 26_27-43425,38018245-CBL 26_27-43425,"Morayfield",1,,6560085
651-4986,CBL 26_27-43425,38018248-CBL 26_27-43425,"Morayfield",0,,6510267
651-4986,CBL 26_27-43425,38018251-CBL 26_27-43425,"Morayfield",0,,6510267
657-4986,CBL 26_27-43425,38018253-CBL 26_27-43425,"Caboolture",1,,6570031
654-4986,CBL 26_27-43425,38018256-CBL 26_27-43425,"Caboolture",0,,6540036
655-4986,CBL 26_27-43425,38018257-CBL 26_27-43425,"Caboolture",1,,6550021
653-4986,CBL 26_27-43425,38018258-CBL 26_27-43425,"Morayfield",1,,6530076
654-4986,CBL 26_27-43425,38018261-CBL 26_27-43425,"Caboolture",0,,6540036
654-4986,CBL 26_27-43425,38018264-CBL 26_27-43425,"Caboolture",0,,6540036
653-4986,CBL 26_27-43425,38018267-CBL 26_27-43425,"Morayfield",1,,6530076
656-4986,CBL 26_27-43425,38018270-CBL 26_27-43425,"Morayfield",1,,6560084
654-4986,CBL 26_27-43425,38018276-CBL 26_27-43425,"Caboolture",0,,6540036
651-4986,CBL 26_27-43425,38018279-CBL 26_27-43425,"Morayfield",0,,6510171
654-4986,CBL 26_27-43425,38018280-CBL 26_27-43425,"Caboolture",0,,6540036
651-4986,CBL 26_27-43425,38018283-CBL 26_27-43425,"Morayfield",0,,6510218
651-4986,CBL 26_27-43425,38018286-CBL 26_27-43425,"Morayfield",0,,6510218
656-4986,CBL 26_27-43425,38018289-CBL 26_27-43425,"Morayfield",1,,6560084
651-4986,CBL 26_27-43425,38018292-CBL 26_27-43425,"Morayfield",0,,6510267
651-4986,CBL 26_27-43425,38018295-CBL 26_27-43425,"Morayfield",0,,6510267
651-4986,CBL 26_27-43425,38018298-CBL 26_27-43425,"Morayfield",0,,6510266
654-4986,CBL 26_27-43425,38018300-CBL 26_27-43425,"Caboolture",0,,6540036
653-4986,CBL 26_27-43425,38018303-CBL 26_27-43425,"Morayfield",1,,6530076
640-4986,CBL 26_27-43425,38018306-CBL 26_27-43425,"Caboolture",1,,6400089
640-4986,CBL 26_27-43425,38018309-CBL 26_27-43425,"Woorim",0,,6400088
640-4986,CBL 26_27-43425,38018310-CBL 26_27-43425,"Caboolture",1,,6400089
640-4986,CBL 26_27-43425,38018313-CBL 26_27-43425,"Woorim",0,,6400088
640-4986,CBL 26_27-43425,38018314-CBL 26_27-43425,"Caboolture",1,,6400089
640-4986,CBL 26_27-43425,38018315-CBL 26_27-43425,"Woorim",0,,6400088
652-4986,CBL 26_27-43425,38018321-CBL 26_27-43425,"Caboolture",0,,6520129
654-4986,CBL 26_27-43425,38018323-CBL 26_27-43425,"Caboolture",0,,6540036
643-4986,CBL 26_27-43425,38018326-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6430021
641-4986,CBL 26_27-43425,38018327-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6410034
9999-4986,CBL 26_27-43425-0001000,38018346-CBL 26_27-43425,"Toorbul",0,,99990076
651-4986,CBL 26_27-43425,38018386-CBL 26_27-43425,"Caboolture",0,,6510169
651-4986,CBL 26_27-43425,38018387-CBL 26_27-43425,"Caboolture",0,,6510169
652-4986,CBL 26_27-43425,38018390-CBL 26_27-43425,"Caboolture",0,,6520128
655-4986,CBL 26_27-43425,38018391-CBL 26_27-43425,"Caboolture",1,,6550021
656-4986,CBL 26_27-43425,38018421-CBL 26_27-43425,"Morayfield",1,,6560084
651-4986,CBL 26_27-43425,38018423-CBL 26_27-43425,"Morayfield",0,,6510223
654-4986,CBL 26_27-43425,38018425-CBL 26_27-43425,"Caboolture",0,,6540036
644-4986,CBL 26_27-43425,38018446-CBL 26_27-43425,"Sandstone Point",1,,6440015
644-4986,CBL 26_27-43425,38018448-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6440016
644-4986,CBL 26_27-43425,38018450-CBL 26_27-43425,"Sandstone Point",1,,6440015
644-4986,CBL 26_27-43425,38018452-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6440016
644-4986,CBL 26_27-43425,38018454-CBL 26_27-43425,"Sandstone Point",1,,6440015
644-4986,CBL 26_27-43425,38018456-CBL 26_27-43425,"Bribie Island park 'n' ride",0,,6440016
656-4986,CBL 26_27-43425,38018499-CBL 26_27-43425,"Morayfield",1,,6560084
654-4986,CBL 26_27-43425,38018502-CBL 26_27-43425,"Caboolture",0,,6540036
656-4986,CBL 26_27-43425,38018504-CBL 26_27-43425,"Morayfield",1,,6560085
651-4986,CBL 26_27-43425,38018507-CBL 26_27-43425,"Morayfield",0,,6510218
654-4986,CBL 26_27-43425,38018510-CBL 26_27-43425,"Caboolture",0,,6540036
655-4986,CBL 26_27-43425,38018511-CBL 26_27-43425,"Caboolture",1,,6550021
653-4986,CBL 26_27-43425,38018512-CBL 26_27-43425,"Morayfield",1,,6530076
651-4986,CBL 26_27-43425,38018513-CBL 26_27-43425,"Morayfield",0,,6510218
652-4986,CBL 26_27-43425,38018522-CBL 26_27-43425,"Caboolture",0,,6520129
651-4986,CBL 26_27-43425,38018524-CBL 26_27-43425,"Morayfield",0,,6510170
657-4986,CBL 26_27-43425,38018529-CBL 26_27-43425,"Caboolture",1,,6570031
651-4986,CBL 26_27-43425,38018532-CBL 26_27-43425,"Morayfield",0,,6510218
656-4986,CBL 26_27-43425,38018535-CBL 26_27-43425,"Morayfield",1,,6560084
657-4986,CBL 26_27-43425,38018552-CBL 26_27-43425,"Caboolture",1,,6570031
653-4986,CBL 26_27-43425,38018555-CBL 26_27-43425,"Morayfield",1,,6530076
643-4986,CBL 26_27-43427,38018759-CBL 26_27-43427,"Caboolture",1,,6430023
657-4986,CBL 26_27-43427,38018760-CBL 26_27-43427,"Caboolture",1,,6570031
640-4986,CBL 26_27-43427,38018763-CBL 26_27-43427,"Woorim",0,,6400088
640-4986,CBL 26_27-43427,38018764-CBL 26_27-43427,"Caboolture",1,,6400089
640-4986,CBL 26_27-43427,38018765-CBL 26_27-43427,"Woorim",0,,6400088
640-4986,CBL 26_27-43427,38018766-CBL 26_27-43427,"Caboolture",1,,6400089
655-4986,CBL 26_27-43427,38018769-CBL 26_27-43427,"Caboolture",1,,6550021
655-4986,CBL 26_27-43427,38018770-CBL 26_27-43427,"Caboolture",1,,6550021
640-4986,CBL 26_27-43427,38018771-CBL 26_27-43427,"Woorim",0,,6400088
640-4986,CBL 26_27-43427,38018772-CBL 26_27-43427,"Caboolture",1,,6400089
640-4986,CBL 26_27-43427,38018773-CBL 26_27-43427,"Woorim",0,,6400088
640-4986,CBL 26_27-43427,38018776-CBL 26_27-43427,"Caboolture",1,,6400089
654-4986,CBL 26_27-43427,38018779-CBL 26_27-43427,"Caboolture",0,,6540036
655-4986,CBL 26_27-43427,38018782-CBL 26_27-43427,"Caboolture",1,,6550021
653-4986,CBL 26_27-43427,38018785-CBL 26_27-43427,"Morayfield",1,,6530076
654-4986,CBL 26_27-43427,38018786-CBL 26_27-43427,"Caboolture",0,,6540036
640-4986,CBL 26_27-43427,38018789-CBL 26_27-43427,"Woorim",0,,6400088
640-4986,CBL 26_27-43427,38018790-CBL 26_27-43427,"Caboolture",1,,6400089
653-4986,CBL 26_27-43427,38018791-CBL 26_27-43427,"Morayfield",1,,6530076
654-4986,CBL 26_27-43427,38018794-CBL 26_27-43427,"Caboolture",0,,6540036
657-4986,CBL 26_27-43427,38018795-CBL 26_27-43427,"Caboolture",1,,6570031
641-4986,CBL 26_27-43427,38018798-CBL 26_27-43427,"Bribie Island park 'n' ride",0,,6410034
642-4986,CBL 26_27-43427,38018800-CBL 26_27-43427,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43427,38018802-CBL 26_27-43427,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43427,38018803-CBL 26_27-43427,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43427,38018805-CBL 26_27-43427,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43427,38018806-CBL 26_27-43427,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43427,38018808-CBL 26_27-43427,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43427,38018809-CBL 26_27-43427,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43427,38018811-CBL 26_27-43427,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43427,38018812-CBL 26_27-43427,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43427,38018814-CBL 26_27-43427,"Bribie Island RSL",1,,6420051
642-4986,CBL 26_27-43427,38018815-CBL 26_27-43427,"Bribie Island park 'n' ride",0,,6420048
642-4986,CBL 26_27-43427,38018817-CBL 26_27-43427,"Bribie Island RSL",1,,6420051
651-4986,CBL 26_27-43427,38018820-CBL 26_27-43427,"Caboolture",0,,6510169
655-4986,CBL 26_27-43427,38018823-CBL 26_27-43427,"Caboolture",1,,6550021
640-4986,CBL 26_27-43427,38018826-CBL 26_27-43427,"Woorim",0,,6400088
640-4986,CBL 26_27-43427,38018827-CBL 26_27-43427,"Caboolture",1,,6400089
652-4986,CBL 26_27-43427,38018830-CBL 26_27-43427,"Caboolture",0,,6520129
655-4986,CBL 26_27-43427,38018833-CBL 26_27-43427,"Caboolture",1,,6550021
652-4986,CBL 26_27-43427,38018835-CBL 26_27-43427,"Caboolture",0,,6520129
652-4986,CBL 26_27-43427,38018838-CBL 26_27-43427,"Caboolture",0,,6520129
656-4986,CBL 26_27-43427,38018841-CBL 26_27-43427,"Morayfield",1,,6560084
656-4986,CBL 26_27-43427,38018844-CBL 26_27-43427,"Morayfield",1,,6560085
654-4986,CBL 26_27-43427,38018847-CBL 26_27-43427,"Caboolture",0,,6540036
